Ly6C,B220
180.354,6605.45
26.2261,7386.55
679.085,4973.96
11789.5,208.788
11580.2,-90.5782
391.038,113.272
316.139,3844.91
492.244,3862.7
294.316,794.398
81.818,3764.42
85.4753,5039.28
454.277,2604.05
108.983,4303.53
156.035,6349.78
1201.52,313.201
6200.18,-108.143
34.4664,2486.31
187.707,4148.63
227.916,6948.12
37.4506,4532.41
83.979,6166.22
92.1724,6822.44
309.808,5048.63
361.807,7594.98
20116.2,71.2894
228.191,8780.17
24268.8,62.5478
241.47,5169.07
199.788,6782.59
355.119,4925.2
135.938,7841.72
172.845,5472.02
183.762,8594.42
176.029,6114.26
23713.3,73.7327
255.536,4679.58
225.833,1241.17
660.985,2208.5
259.915,5682.73
253.988,159.823
9242.44,435.29
31348.4,-35.5785
26.2773,2712.96
32101.9,254.641
59.9638,348.005
648.134,2764.42
110.664,8447.2
124.085,5266.97
21702.1,-45.9585
89.5899,-17.4105
14830.7,3516.79
17419.1,74.6636
234.512,7212.45
120.706,2131.07
241.705,352.779
559.294,210.993
0.452037,4927.97
12972.1,166.747
528.887,160.955
335.346,7020.94
185.922,314.63
338.136,366.65
292.437,290.562
252.938,10516.3
202.284,5139.82
9122.2,174.522
172.349,4199.09
126.043,8563.28
246.31,3509.37
203.466,4528.78
182.12,3437.28
6175.08,872.447
1302.66,323.06
478.288,221.49
68.5333,4291.98
302.341,9987.82
208.183,3652.95
94.6055,2657.95
318.884,6035.04
262.639,173.197
82.8605,7009.7
813.829,166.06
-43.9126,3818.21
320.232,5811.48
323.769,5801.29
24.2702,6289.38
222.993,-26.1169
1371.37,-21.9507
22830.4,98.5171
12359.6,203.118
244.097,147.053
181.904,5219.07
363.638,3450.26
1796.79,427.445
11350.4,92.9147
-39.4324,18.4224
366.733,3017.63
2272.95,88.5755
28305.8,124.555
13756.4,1045.06
142.782,7624.17
140.719,6091.68
337.059,5609.58
196.28,-9.6965
7545.35,487.058
363.845,4116.76
18291.2,209.752
129.465,2737.59
17150.3,82.3504
245.744,5329.82
12671,38.0033
23155.2,-33.9376
3966.56,320.5
161.243,1523.44
266.683,8371.74
298.667,4464.88
141.708,3034.79
186.528,5508.49
92.2442,200.385
18910.5,55.7661
307.867,7083.44
11970.8,63.9985
10094.8,581.797
234.241,4089.04
130.9,5828.09
317.472,7150.64
6957.27,292.771
252.288,4028.37
796.123,746.664
485.006,2908.33
46.5331,3459.94
224.579,4817.99
19784.6,141.192
638.662,7588.53
1122.15,5419.23
-27.6317,6050.02
1166.4,7449.63
69.5298,5857.42
10178.1,375.296
46.6475,4813.79
-13.658,4316.04
172.912,4026.13
13.8484,3209.27
137.92,8737.59
14825.9,81.7371
23500.9,140.515
26873.4,206.832
390.483,4945.48
149.283,6057.17
172.821,5645.44
108.77,3883.94
137.549,5238.59
133.725,149.391
215.627,6691.59
7221.6,616.627
24069.8,121.417
54.7555,6939.2
357.273,40.73
579.76,546.308
305.849,7137.82
208.406,6070.33
4397.51,5.29535
226.309,4516.06
67.5325,-56.323
152.537,7773.59
1299.89,1079.35
11660.6,-13.0091
181.853,109.556
14182.2,572.88
-41.7416,4106.16
-73.9726,5902.53
15952.8,205.188
72.1271,2112.37
371.028,5456.3
117.636,3354.88
188.755,5147.59
344.178,3566.04
14552.5,33.6233
451.475,6336.69
16552.9,126.4
368.774,7351.26
497.197,6936.97
101.683,5189.43
242.113,440.281
212.764,217.155
259.139,4753.79
109.773,5371.94
177.417,5578.13
258.383,4994.93
254.584,6672.85
128.233,2014.52
232.718,8490.67
22161.6,147.38
490.383,211.945
27.2526,6444.1
262.361,8547.46
158.985,4612.53
89.8979,2578.56
642.076,5875.07
224.16,76.8148
245.051,6991.37
591.415,73.7408
1764.18,200.676
52.2212,5765.03
10585.7,85.7672
50.0307,4281.09
356.626,6280.5
308.527,6242.24
179.078,8568.75
3325.47,2465.13
240.026,503.376
227.044,5423.57
14056.9,200.989
240.695,5295.28
-48.4541,4677.19
3662.03,3491.36
77.6755,7252.58
5769.21,159.529
-3.52743,2712.94
23809.9,110.98
656.229,13060.9
148.779,7395.64
9698.45,431.768
129.653,6060.61
10010.1,28.304
218.39,6101.61
129.574,6024.47
117.95,6902.84
1605.27,515.198
53.629,6126.68
7952.15,80.9663
136.835,1015.79
2.80605,4158.16
644.735,5642.14
232.334,9565.91
21277.7,111.849
330.795,222.604
15258.4,-114.509
161.381,291.848
192.565,7022.75
567.875,7002.29
60.7227,5109.95
4245.2,553.364
494.943,7712.81
23409.2,89.7351
220.108,6860.61
43.8961,3788.32
171.768,4391.18
282.756,33.8636
16046.1,541.37
227.789,8004.13
379.309,2721.24
12604,142.346
244.163,5981.46
442.998,381.072
159.066,5019.91
33674.5,103.682
110.019,6071.55
29105.7,54.8095
150.53,5576.71
29553.5,79.3001
22782.1,195.44
14657.5,-29.3422
80.9392,7794.89
199.426,4794.67
58368.8,319.207
185.648,4430.49
27339.7,495.784
-1.2359,5396.62
34555.4,-79.2551
194.862,10232.8
174.296,7357.27
121.587,5084.57
22422.2,175.612
-34.7869,322.241
243.437,5611.98
472.35,4951.1
297.97,4822.77
9287.29,242.605
165.921,5101.76
10412,67.5736
160.89,3868.5
1147.33,126.386
400.102,3992.93
80.5537,277.604
1166.2,6927.96
104.256,172.706
572.413,11301.7
17234.8,57.8323
112.679,5229.79
1598.44,1041.19
339.346,7178.46
87.5985,4753.05
272.195,4671.32
20942.7,163.759
65.0674,4379.73
307.359,4980.7
143.079,5722.21
284.984,4043.52
50.1884,5729.61
485.035,5167.69
284.66,6606.1
334.12,6561.82
