Ly6C,B220
1981.7,70983.2
3656.03,109215
2587.27,61928.5
3841.79,3233.15
1857.02,62276.8
13837.8,48391.4
445.708,55142.8
196.139,126408
1023.9,69777
2460.35,99076.4
92787.6,762.381
353263,8345.22
998.023,52553.3
1697.2,90514
1251.59,42905.5
1448.91,140300
150701,1409.56
95179,2064.64
2121.25,3426.22
10008,75389.4
2359.61,3847.7
205651,873.853
1356.82,67976.4
1420.34,1942.29
1566.31,56179.8
1227.69,51456.5
84071.6,1911.91
926.629,26470.8
201081,3613.45
952.364,31200.2
2291.99,65564
828.15,66082.1
2520.48,28173.8
712.915,54310.4
1889.39,11796.8
